"ID" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
1 -0.521033388800365 -0.546547834190087 -0.560888899640907 -0.153722070528324 -0.116846340832627 -0.285970876698561
2 -0.550182863953901 -0.56031344238308 -0.560933299142959 -0.246868489720627 -0.0882110912337927 -0.224356790163652
3 -0.554844445297353 -0.548882200456398 -0.569402828108679 -0.25509575080743 -0.196285803641219 -0.308278803713542
4 -0.556225460503712 -0.562068453493841 -0.558257364966512 -0.314928743110884 -0.224648329354634 -0.301972557606331
5 -0.551680909926322 -0.557727231606135 -0.552636166318237 -0.243979863905535 -0.135266968708224 -0.219856620865299
6 -0.538565829095587 -0.552253932666457 -0.563288791390388 -0.183083132419648 -0.00774754007260368 -0.174224811337182
7 -0.570168341813235 -0.562681411082595 -0.576213650937707 -0.146668588278687 -0.144454981851541 -0.314686913652232
8 -0.552484248654061 -0.562291009500816 -0.563688790110945 -0.139632636849052 -0.00350851770489596 -0.136198336708412
9 -0.576140579950362 -0.569861318694921 -0.571659651579692 -0.238112758193513 -0.152590901085107 -0.314250806441595
10 -0.544768735912951 -0.554171495523231 -0.562086082867722 -0.171243280285558 -0.0928998408636873 -0.196800269811456
11 -0.552569731626979 -0.560163362015382 -0.56323444843933 -0.316639709932807 -0.202536620199863 -0.339404928990101
12 -0.55555830797007 -0.568409496203126 -0.561939569345044 -0.204051847724816 -0.14589225788813 -0.303651031097862
13 -0.559679898689428 -0.559210963996843 -0.570718206796153 -0.16216469469009 -0.146175018785925 -0.291385465487387
14 -0.566539566359065 -0.580054672538001 -0.581838713241965 -0.245794411468521 -0.0153892333474884 -0.130098851015241
15 -0.563026170147747 -0.559975164678138 -0.567406090194044 -0.262647701708031 -0.113093071016658 -0.269934095846126
16 -0.575637769264657 -0.555390572962235 -0.569309593368161 -0.316791848759343 -0.1925331420983 -0.337383685146858
17 -0.557252448721013 -0.560390221539023 -0.567379253467323 -0.256506855961365 -0.219408130633721 -0.272646244671
18 -0.55189398443311 -0.559423852878406 -0.581146224303779 -0.318915435900928 -0.325757187345448 -0.379073875202538
19 -0.557169751879306 -0.576489458188927 -0.575621987957224 -0.0592270921576182 0.120800080100552 -0.161083876745375
20 -0.558401909303655 -0.571111336871542 -0.568189557385581 -0.0822855188992002 -0.0685970029487568 -0.192275042698118
21 -0.570061754826755 -0.560043845535955 -0.571509980868209 -0.185664623932161 -0.121272251258866 -0.250418978688761
22 -0.552865153039318 -0.568426797682488 -0.583579226742791 -0.117219211122921 -0.125317101550046 -0.160601619327738
23 -0.554097661562837 -0.552769092949315 -0.57283032665109 -0.0787731101442669 -0.00632675657535315 -0.22627666212547
24 -0.554251426367397 -0.57083115222427 -0.572503694148874 -0.292610612713097 -0.2054786746024 -0.316125439887194
25 -0.524717112914799 -0.565443745219465 -0.571357935253078 -0.36087237543868 -0.317881021166441 -0.399653009063569
26 -0.550112545775807 -0.564891478615595 -0.570932291175317 -0.257996687371654 -0.166593783133544 -0.286932426467427
27 -0.550491894942597 -0.564458128520817 -0.5678191616517 -0.249776909612591 -0.150039730086021 -0.315331728720999
28 -0.571611706715866 -0.573045498434115 -0.573499385856676 -0.265610418056733 -0.12076166755164 -0.269987917872957
29 -0.543617758596031 -0.561197203492126 -0.568651171953887 -0.208298430368722 -0.161713430631038 -0.233926898784217
30 -0.565878284133239 -0.570825177868484 -0.579080426690232 -0.233556157269519 -0.207222290221097 -0.327990438010303
